key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-243088531,Multimedia Fatigue Detection for Adaptive Infotainment User Interface,2015,10,30,MM '15: ACM Multimedia Conference,978-1-4503-3747-2,,,15-24,"Alhazmi, Sultan and Saini, Mukesh Kumar and El Saddik, Abdulmotaleb",https://dl.acm.org/doi/10.1145/2810397.2810400,en,ACM,,"Current vehicles are equipped with user interfaces that assist the drivers by presenting essential information such as navigation, speed limit, etc. In this work we present a fatigue detection model in order to build an adaptive user interface for vehicles that changes its properties according to the fatigue level of the driver. When the driver is fatigued, the interface parameters, such as intensity and color combination, are modulated to make the user interface more attentive and intrusive. At other times, when the driver is not fatigued, the interface properties are optimized for aesthetics and pleasure. In this way, the adaptive interface provides a warning to the driver while she is fatigued along with the routine essential information. We take a multimedia approach to measure fatigue by analysing the driver behaviour. The system captures driver behaviour with four media streams that capture: angular velocity of steering wheel, force on brake pedal, force on gas pedal, and grip force. These continuous media stream are fused together with other contextual parameters to detect fatigue. In the experiments, we evaluate two fusion techniques and 16 media stream combinations. It is found that the fatigue detection accuracy increases almost linearly with number of media streams fused. We also found that the steering wheel provides best cue of fatigue, while the gas pedal provides weakest cue. Personalized Bayesian Networks further enhance the accuracy.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation"", ""No experimental data""]}",10.1145/2810397.2810400,,,
rayyan-243088532,A Novel Method for Unsafe Driving States Detection,2020,2,15,ICMLC 2020: 2020 12th International Conference on Machine Learning and Computing,978-1-4503-7642-6,,,373-378,"Shang, Haixing and Qian, Yi and Shi, Ruipeng and Li, Yuchong and Liang, Xi",https://dl.acm.org/doi/10.1145/3383972.3384060,en,ACM,,"With the increase in vehicle consumption in recent years, traffic accidents have become the most important cause of premature death all over the world. In particular, the unsafe driving state like fatigue and distraction, which lead to around 90 percent of crashes. In this paper, an unsafe driving state detection method based on deep learning is proposed. First, the optimized MTCNN method is used to detect human face and locate facial feature points, the optimized MTCNN method accelerating the speed up to 27 times. Second, a new ERFP method is used to achieve more accurately facial feature points locating. Meanwhile, a simple and efficient method FOD is proposed to detect the facial orientation by analyzing the change of the relative position between the nose tip and facial position. Third, this paper also built the new unsafe driving state dataset UDS for training the classification model of the status of eyes and mouth. Finally, the different standards are designed to detect the different unsafe driving states in experiments, compared with previous methods, the method proposed in this paper got a better result in drivers’ unsafe state detection.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation"", ""Lack experimental data""]}",10.1145/3383972.3384060,,,
rayyan-243088533,Robust Two-Stream Multi-Features Network for Driver Drowsiness Detection,2020,10,17,"RICAI 2020: 2020 2nd International Conference on Robotics, Intelligent Control and Artificial Intelligence",978-1-4503-8830-6,,,271-277,"Shen, Qi and Zhao, Shengjie and Zhang, Rongqing and Zhang, Bin",https://dl.acm.org/doi/10.1145/3438872.3439093,en,ACM,,"Drowsiness driving is a major cause of traffic accidents, and thus numerous previous researches have focused on driver drowsiness detection. Many drive relevant factors have been taken into consideration for fatigue detection. They can lead to high precision, but there are still several serious constraints, such as most existing models are environmentally susceptible. In this paper, fatigue detection is considered as a temporal action detection problem instead of image classification. The proposed detection system can be divided into four parts: (1) Localize the key patches of the detected driver facial picture for fatigue detection and calculate the corresponding optical flow. (2) Contrast Limited Adaptive Histogram Equalization (CLAHE) is used in our system to reduce the impact of different light conditions. (3) Three individual two-stream networks combined with 3D attention mechanism and 3D depthwise separable convolution are designed for each feature to extract temporal information. (4) The outputs of the three sub-networks will be concatenated and sent to the fully-connected network, which judges the status of the driver. The drowsiness detection system is trained and evaluated on the famous National Tsingua University Driver Drowsiness Detection (NTHU-DDD) dataset and we obtain an accuracy of 94.46%, which outperforms most existing fatigue detection models.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""NTHU-DDD Dataset"", ""Behavioral"", ""Hybrid""]}",10.1145/3438872.3439093,,,
rayyan-243088534,"The Dangers of Drowsiness Detection: Differential Performance, Downstream Impact, and Misuses",2021,7,21,"AIES '21: AAAI/ACM Conference on AI, Ethics, and Society",978-1-4503-8473-5,,,525-531,"Grzelak, Jakub and Brandao, Martim",https://dl.acm.org/doi/10.1145/3461702.3462593,en,ACM,,"Drowsiness and fatigue are important factors in driving safety and work performance. This has motivated academic research into detecting drowsiness, and sparked interest in the deployment of related products in the insurance and work-productivity sectors. In this paper we elaborate on the potential dangers of using such algorithms. We first report on an audit of performance bias across subject gender and ethnicity, identifying which groups would be disparately harmed by the deployment of a state-of-the-art drowsiness detection algorithm. We discuss some of the sources of the bias, such as the lack of robustness of facial analysis algorithms to face occlusions, facial hair, or skin tone. We then identify potential downstream harms of this performance bias, as well as potential misuses of drowsiness detection technology—focusing on driving safety and experience, insurance cream-skimming and coverageavoidance, worker surveillance, and job precarity.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design",10.1145/3461702.3462593,,,
rayyan-243088535,Drowsiness Detection Using Federated Learning: Lessons Learnt from Dealing with Non-IID Data,2024,6,26,PETRA '24: The PErvasive Technologies Related to Assistive Environments Conference,979-8-4007-1760-4,,,285-292,"Dautov, Rustem and Husom, Erik Johannes",https://dl.acm.org/doi/10.1145/3652037.3652074,en,ACM,,"The privacy of personal data is paramount in the realm of assisted living and digital healthcare. Federated Learning (FL), with its decentralised model training approach, has emerged as a compelling solution to reconcile the need for personalised models with the requirement to protect sensitive personal information. By allowing model training to occur locally on user devices without centralising raw data, FL is intended to strike a balance between personalisation and privacy. While the potential benefits of FL in assisted living and digital healthcare are substantial, practical implementation poses significant challenges. One of them is the non-Independently and Identically Distributed (non-IID) nature of personal data. Unlike centralised datasets, non-IID data exhibits inherent variability across different individuals, as well as their surrounding contexts. Unfortunately, many research approaches in this domain often overlook the nuances of non-IID data, potentially leading to models that lack robust generalisation across diverse healthcare scenarios. To highlight the importance of this challenge, in this paper, we report on our hands-on experience of building a FL system for drowsiness detection using non-IID data. We compare this federated setup with a traditional, centralised approach to model training by identifying and discussing the associated challenges from multiple perspectives, as well as possible solutions and recommendations for further research.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Theoretical only""]}",10.1145/3652037.3652074,,,
rayyan-243088536,Drowsiness Detection System in Real Time Based on Behavioral Characteristics of Driver using Machine Learning Approach,2023,,,Journal of Informatics Electrical and Electronics Engineering (JIEEE),25827006,4,1,10-Jan,"Amity School of Engineering and Technology Lucknow, Amity University Uttar Pradesh, India and Adarsh, Gauri and Singh, Vineet and Amity School of Engineering and Technology Lucknow, Amity University Uttar Pradesh, India",http://jieee.a2zjournals.com/index.php/ieee/article/view/84,en,,,"The process of determining if a person, generally a driver, is becoming sleepy or drowsy while performing a task such as driving is known as drowsiness detection. It is a necessary system for detecting and alerting drivers to their tiredness, which might impair their driving ability and lead to accidents. The project aims to create a reliable and efficient system capable of real-time detection of drowsiness using OpenCV, Dlib, and facial landmark detection technologies. The project's results show that the sleepiness detection method can accurately and precisely identify tiredness in real time. The technology is less intrusive and more economical than conventional sleepiness detection techniques. The system is based on a 68 facial landmark detector, which is a highly trained and effective detector capable of recognizing human face points. The detector aids in assessing whether the driver's eyes are closed or open. The system analyses the data collected by the detector using machine learning methods to discover patterns associated with drowsiness. When drowsiness is detected, the system incorporates a warning mechanism, such as an alarm or a vibration in the steering wheel, to notify the driver. A variety of studies with different drivers and driving conditions were used to evaluate the performance of the real-time driver drowsiness detection system. The results show that the technology can detect tiredness properly and deliver timely warnings to the driver. This method can assist in preventing drowsy driving incidents, enhancing road safety, and saving lives. The results indicated that the algorithm had an average accuracy rate of 94% for identifying tiredness in drivers.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""ML"", ""Behavioral"", ""High Accuracy""]}",10.54060/jieee.v4i1.84,,,
rayyan-243088537,A CNN-LSTM-based Deep Learning Approach for Driver Drowsiness Prediction,2022,8,31,Journal of Engineering Research,2735-4873,,,0-0,"Gomaa, Mohamed and Mahmoud, Rasha and Sarhan, Amany",https://erjeng.journals.ekb.eg/article_257197.html,en,,,"The development of neural networks and machine learning techniques has recently been the cornerstone for many applications of artificial intelligence. These applications are now found in practically all aspects of our daily life. Predicting drowsiness is one of the most particularly valuable of artificial intelligence for reducing the rate of traffic accidents. According to earlier studies, drowsy driving is at responsible for 25 to 50% of all traffic accidents, which account for 1,200 deaths and 76,000 injuries annually. The goal of this research is to diminish car accidents caused by drowsy drivers. This research tests a number of popular deep learning-based models and presents a novel deep learning-based model for predicting driver drowsiness using a combination of convolutional neural networks (CNN) and LongShort-Term Memory (LSTM) to achieve results that are superior to those of state-of-the-art methods. Utilizing convolutional layers, CNN has excellent feature extraction abilities, whereas LSTM can learn sequential dependencies. The National Tsing Hua University (NTHU) driver drowsiness dataset is used to test the model and compare it to several other current models as well as state-of-the-art models. The proposed model outperformed state-of-the-art models, with results up to 98.30% for training accuracy and 97.31% for validation accuracy.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Hybrid"", ""CNN-LSTM"", ""Deep Learning"", ""High Accuracy"", ""NTHU-DDD dataset""]}",10.21608/erjeng.2022.141514.1067,,,
rayyan-243088538,Modelling self-reported driver perspectives and fatigued driving via deep learning,2021,11,16,Traffic Safety Research,2004-3082,1,,3,"Zoupos, Alexandros and Ziakopoulos, Apostolos and Yannis, George",https://tsr.international/TSR/article/view/23393,en,,,"Driving while fatigued is a considerably understudied risk factor contributing to car crashes every year. The first step in mitigating the respective crash risks is to attempt to infer fatigued driving from other parameters, in order to gauge its extend in road networks. The aim of this study is to investigate the extent to which declared fatigued driving behaviour can be predicted based on overall driver opinions and perceptions on that issue. For that purpose, a broad cross-country questionnaire from the ESRA2 survey was used. The questionnaire is related to self-declared beliefs, perception, and attitudes towards a wide range of traffic safety topics. Initially, a binary logistic regression model was trained to provide causal insights on which variables affect the likelihood that a driver engaged in driving while fatigued. Drivers reporting driving under the influence of drugs, fatigue, or alcohol, as well as speeding, safety, and texting while driving or drivers who were more acceptable of fatigued driving were more likely to have recently driven while fatigued. In contrast, acceptability of other hazardous behaviours, namely mobile phone use and drunk driving, was negatively correlated with fatigued driving behaviour, as were more responsible driver perspectives overall. To provide a more accurate detection mechanism, which would also incorporate non-linear effects, a Deep Neural Network (DNN) was subsequently trained on the data, slightly outperforming the binary logistic model. From the results of both models, it was concluded that declared fatigued driving behaviour can be predicted from questionnaire data, providing new insights to fatigue detection.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""no empirical validation"", ""survey only""]}",10.55329/galf7789,,,
rayyan-243088539,Adaptive Driver Face Feature Fatigue Detection Algorithm Research,2023,4,18,Applied Sciences,2076-3417,13,8,5074,"Zheng, Han and Wang, Yiding and Liu, Xiaoming",https://www.mdpi.com/2076-3417/13/8/5074,en,,,"Fatigued driving is one of the leading causes of trafﬁc accidents, and detecting fatigued driving effectively is critical to improving driving safety. Given the variety and individual variability of the driving surroundings, the drivers’ states of weariness, and the uncertainty of the key characteristic factors, in this paper, we propose a deep-learning-based study of the MAX-MIN driver fatigue detection algorithm. First, the ShufﬂeNet V2K16 neural network is used for driver face recognition, which eliminates the inﬂuence of poor environmental adaptability in fatigue detection; second, ShufﬂeNet V2K16 is combined with Dlib to obtain the coordinates of driver face feature points; and ﬁnally, the values of EAR and MAR are obtained by comparing the ﬁrst 100 frames of images to EAR-MAX and MAR-MIN. Our proposed method achieves 98.8% precision, 90.2% recall, and 94.3% F-Score in the actual driving scenario application.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""ML"", ""NN"", ""High Accuracy""]}",10.3390/app13085074,,,
rayyan-243088540,Driver Identification and Detection of Drowsiness while Driving,2024,3,20,Applied Sciences,2076-3417,14,6,2603,"Díaz-Santos, Sonia and Cigala-Álvarez, Óscar and Gonzalez-Sosa, Ester and Caballero-Gil, Pino and Caballero-Gil, Cándido",https://www.mdpi.com/2076-3417/14/6/2603,en,,,"This paper introduces a cutting-edge approach that combines facial recognition and drowsiness detection technologies with Internet of Things capabilities, including 5G/6G connectivity, aimed at bolstering vehicle security and driver safety. The delineated two-phase project is tailored to strengthen security measures and address accidents stemming from driver distraction and fatigue. The initial phase is centered on facial recognition for driver authentication before vehicle initiation. Following successful authentication, the subsequent phase harnesses continuous eye monitoring features, leveraging edge computing for real-time processing to identify signs of drowsiness during the journey. Emphasis is placed on video-based identification and analysis to ensure robust drowsiness detection. Finally, the study highlights the potential of these innovations to revolutionize automotive security and accident prevention within the context of intelligent transport systems.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""no empirical validation""]}",10.3390/app14062603,,,
rayyan-243088541,Human Operator Mental Fatigue Assessment Based on Video: ML-Driven Approach and Its Application to HFAVD Dataset,2024,11,14,Applied Sciences,2076-3417,14,22,10510,"Othman, Walaa and Hamoud, Batol and Shilov, Nikolay and Kashevnik, Alexey",https://www.mdpi.com/2076-3417/14/22/10510,en,,,"The detection of the human mental fatigue state holds immense significance due to its direct impact on work efficiency, specifically in system operation control. Numerous approaches have been proposed to address the challenge of fatigue detection, aiming to identify signs of fatigue and alert the individual. This paper introduces an approach to human mental fatigue assessment based on the application of machine learning techniques to the video of a working operator. For validation purposes, the approach was applied to a dataset, “Human Fatigue Assessment Based on Video Data” (HFAVD) integrating video data with features computed by using our computer vision deep learning models. The incorporated features encompass head movements represented by Euler angles (roll, pitch, and yaw), vital signs (blood pressure, heart rate, oxygen saturation, and respiratory rate), and eye and mouth states (blinking and yawning). The integration of these features eliminates the need for the manual calculation or detection of these parameters, and it obviates the requirement for sensors and external devices, which are commonly employed in existing datasets. The main objective of our work is to advance research in fatigue detection, particularly in work and academic settings. For this reason, we conducted a series of experiments by utilizing machine learning techniques to analyze the dataset and assess the fatigue state based on the features predicted by our models. The results reveal that the random forest technique consistently achieved the highest accuracy and F1-score across all experiments, predominantly exceeding 90%. These findings suggest that random forest is a highly promising technique for this task and prove the strong connection and association among the predicted features used to annotate the videos and the state of fatigue.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""ML"", ""F1-score reported"", ""on human general fatigue not driver fatigue""]}",10.3390/app142210510,,,
rayyan-243088542,Drowsiness Detection in Drivers Using Facial Feature Analysis,2024,12,24,Applied Sciences,2076-3417,15,1,20,"Essel, Ebenezer and Lacy, Fred and Albalooshi, Fatema and Elmedany, Wael and Ismail, Yasser",https://www.mdpi.com/2076-3417/15/1/20,en,,,"Drowsiness has been recognized as a leading factor in road accidents worldwide. Despite considerable research in this area, this paper aims to improve the precision of drowsiness detection specifically for long-haul travel by employing the Dlib-based facial feature detection algorithm. This study proposes two algorithms: a static and adaptive frame threshold. Both approaches utilize eye closure ratio (ECR) and mouth aperture ratio (MAR) parameters to determine the driver’s level of drowsiness. The static threshold method issues a warning when the ECR and/or MAR values reach specific thresholds. In this method, the ECR threshold is established at 0.15 and the MAR threshold at 0.4. The static threshold method demonstrated an accuracy of 89.4% and a sensitivity of 96.5% using 1000 images. The adaptive frame threshold algorithm uses a counter to monitor the number of consecutive frames that meet the drowsiness criteria before triggering a warning. Additionally, the number of consecutive frames required is adjusted dynamically over time to enhance detection accuracy and more accurately indicate a state of drowsiness. The adaptive frame threshold algorithm was tested using four 30 min videos, from a publicly available dataset achieving a maximum accuracy of 98.2% and a sensitivity of 64.3% with 500 images.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Behavioral"", ""Image processing"", ""High Accuracy""]}",10.3390/app15010020,,,
