Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
QRX5GT6X	journalArticle	2017	"Li, Zuojin; Li, Shengbo; Li, Renjie; Cheng, Bo; Shi, Jinliang"	Online Detection of Driver Fatigue Using Steering Wheel Angles for Real Driving Conditions	Sensors		1424-8220	10.3390/s17030495	https://www.mdpi.com/1424-8220/17/3/495	"This paper presents a drowsiness on-line detection system for monitoring driver fatigue level under real driving conditions, based on the data of steering wheel angles (SWA) collected from sensors mounted on the steering lever. The proposed system ?rstly extracts approximate entropy (ApEn) features from ?xed sliding windows on real-time steering wheel angles time series. After that, this system linearizes the ApEn features series through an adaptive piecewise linear ?tting using a given deviation. Then, the detection system calculates the warping distance between the linear features series of the sample data. Finally, this system uses the warping distance to determine the drowsiness state of the driver according to a designed binary decision classi?er. The experimental data were collected from 14.68 h driving under real road conditions, including two fatigue levels: “wake” and “drowsy”. The results show that the proposed system is capable of working online with an average 78.01% accuracy, 29.35% false detections of the “awake” state, and 15.15% false detections of the “drowsy” state. The results also con?rm that the proposed method based on SWA signal is valuable for applications in preventing traf?c accidents caused by driver fatigue."	3/2/2017	5/20/2025 12:43	5/24/2025 12:21	5/20/2025 12:43	495		3	17		Sensors								en	https://creativecommons.org/licenses/by/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\N6Q92EHA\Li et al. - 2017 - Online Detection of Driver Fatigue Using Steering Wheel Angles for Real Driving Conditions.pdf		INCLUDED																																															
SIEJKNUN	journalArticle	2022	"Chen, Jian; Yan, Ming; Zhu, Feng; Xu, Jing; Li, Hai; Sun, Xiaoguang"	Fatigue Driving Detection Method Based on Combination of BP Neural Network and Time Cumulative Effect	Sensors		1424-8220	10.3390/s22134717	https://www.mdpi.com/1424-8220/22/13/4717	"Fatigue driving has always received a lot of attention, but few studies have focused on the fact that human fatigue is a cumulative process over time, and there are no models available to re?ect this phenomenon. Furthermore, the problem of incorrect detection due to facial expression is still not well addressed. In this article, a model based on BP neural network and time cumulative effect was proposed to solve these problems. Experimental data were used to carry out this work and validate the proposed method. Firstly, the Adaboost algorithm was applied to detect faces, and the Kalman ?lter algorithm was used to trace the face movement. Then, a cascade regression tree-based method was used to detect the 68 facial landmarks and an improved method combining key points and image processing was adopted to calculate the eye aspect ratio (EAR). After that, a BP neural network model was developed and trained by selecting three characteristics: the longest period of continuous eye closure, number of yawns, and percentage of eye closure time (PERCLOS), and then the detection results without and with facial expressions were discussed and analyzed. Finally, by introducing the Sigmoid function, a fatigue detection model considering the time accumulation effect was established, and the drivers’ fatigue state was identi?ed segment by segment through the recorded video. Compared with the traditional BP neural network model, the detection accuracies of the proposed model without and with facial expressions increased by 3.3% and 8.4%, respectively. The number of incorrect detections in the awake state also decreased obviously. The experimental results show that the proposed model can effectively ?lter out incorrect detections caused by facial expressions and truly re?ect that driver fatigue is a time accumulating process."	6/22/2022	5/20/2025 12:43	5/24/2025 12:28	5/20/2025 12:43	4717		13	22		Sensors								en	https://creativecommons.org/licenses/by/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\ZUK9WSJE\Chen et al. - 2022 - Fatigue Driving Detection Method Based on Combination of BP Neural Network and Time Cumulative Effec.pdf		INCLUDED																																															
33VM83FQ	journalArticle	2023	"Peivandi, Mohammad; Ardabili, Sevda Zafarmandi; Sheykhivand, Sobhan; Danishvar, Sebelan"	Deep Learning for Detecting Multi-Level Driver Fatigue Using Physiological Signals: A Comprehensive Approach	Sensors		1424-8220	10.3390/s23198171	https://www.mdpi.com/1424-8220/23/19/8171	"A large share of traf?c accidents is related to driver fatigue. In recent years, many studies have been organized in order to diagnose and warn drivers. In this research, a new approach was presented in order to detect multi-level driver fatigue. A multi-level driver tiredness diagnostic database based on physiological signals including ECG, EEG, EMG, and respiratory effort was developed for this aim. The EEG signal was used for processing and other recorded signals were used to con?rm the driver’s fatigue so that fatigue was not con?rmed based on self-report questionnaires. A customized architecture based on adversarial generative networks and convolutional neural networks (end-to-end) was utilized to select/extract features and classify different levels of fatigue. In the customized architecture, with the objective of eliminating uncertainty, type 2 fuzzy sets were used instead of activation functions such as Relu and Leaky Relu, and the performance of each was investigated. The ?nal accuracy obtained in the three scenarios considered, two-level, three-level, and ?ve-level, were 96.8%, 95.1%, and 89.1%, respectively. Given the suggested model’s optimal performance, which can identify ?ve various levels of driver fatigue with high accuracy, it can be employed in practical applications of driver fatigue to warn drivers."	9/29/2023	5/20/2025 12:43	5/24/2025 12:19	5/20/2025 12:43	8171		19	23		Sensors	Deep Learning for Detecting Multi-Level Driver Fatigue Using Physiological Signals							en	https://creativecommons.org/licenses/by/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\54AAG6KZ\Peivandi et al. - 2023 - Deep Learning for Detecting Multi-Level Driver Fatigue Using Physiological Signals A Comprehensive.pdf		INCLUDED																																															
6RLKS324	journalArticle	2019	"Mehta, Sukrit; Dadhich, Sharad; Gumber, Sahil; Jadhav Bhatt, Arpita"	Real-Time Driver Drowsiness Detection System Using Eye Aspect Ratio and Eye Closure Ratio	SSRN Electronic Journal		1556-5068	10.2139/ssrn.3356401	https://www.ssrn.com/abstract=3356401	"Every year many people lose their lives due to fatal road accidents around the world and drowsy driving is one of the primary causes of road accidents and death. Fatigue and micro sleep at the driving controls are often the root cause of serious accidents. However, initial signs of fatigue can be detected before a critical situation arises and therefore, detection of driver’s fatigue and its indication is ongoing research topic. Most of the traditional methods to detect drowsiness are based on behavioural aspects while some are intrusive and may distract drivers, while some require expensive sensors. Therefore, in this paper, a light-weight, real time driver’s drowsiness detection system is developed and implemented on Android application. The system records the videos and detects driver’s face in every frame by employing image processing techniques. The system is capable of detecting facial landmarks, computes Eye Aspect Ratio (EAR) and Eye Closure Ratio (ECR) to detect driver’s drowsiness based on adaptive thresholding. Machine learning algorithms have been employed to test the efficacy of the proposed approach. Empirical results demonstrate that the proposed model is able to achieve accuracy of 84% using random forest classifier."	2019	5/20/2025 12:43	5/24/2025 12:21	5/20/2025 12:43						SSRN Journal								en					DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\A4HYMQEF\Mehta et al. - 2019 - Real-Time Driver Drowsiness Detection System Using Eye Aspect Ratio and Eye Closure Ratio.pdf		INCLUDED																																															
X8XSKZMF	journalArticle	2023	"Sedik, Ahmed; Marey, Mohamed; Mostafa, Hala"	An Adaptive Fatigue Detection System Based on 3D CNNs and Ensemble Models	Symmetry		2073-8994	10.3390/sym15061274	https://www.mdpi.com/2073-8994/15/6/1274	"Due to the widespread issue of road accidents, researchers have been drawn to investigate strategies to prevent them. One major contributing factor to these accidents is driver fatigue resulting from exhaustion. Various approaches have been explored to address this issue, with machine and deep learning proving to be effective in processing images and videos to detect asymmetric signs of fatigue, such as yawning, facial characteristics, and eye closure. This study proposes a multistage system utilizing machine and deep learning techniques. The ?rst stage is designed to detect asymmetric states, including tiredness and non-vigilance as well as yawning. The second stage is focused on detecting eye closure. The machine learning approach employs several algorithms, including Support Vector Machine (SVM), k-Nearest Neighbor (KNN), Multi-layer Perceptron (MLP), Decision Tree (DT), Logistic Regression (LR), and Random Forest (RF). Meanwhile, the deep learning approach utilizes 2D and 3D Convolutional Neural Networks (CNNs). The architectures of proposed deep learning models are designed after several trials, and their parameters have been selected to achieve optimal performance. The effectiveness of the proposed methods is evaluated using video and image datasets, where the video dataset is classi?ed into three states: alert, tired, and non-vigilant, while the image dataset is classi?ed based on four facial symptoms, including open or closed eyes and yawning. A more robust system is achieved by combining the image and video datasets, resulting in multiple classes for detection. Simulation results demonstrate that the 3D CNN proposed in this study outperforms the other methods, with detection accuracies of 99 percent, 99 percent, and 98 percent for the image, video, and mixed datasets, respectively. Notably, this achievement surpasses the highest accuracy of 97 percent found in the literature, suggesting that the proposed methods for detecting drowsiness are indeed effective solutions."	6/16/2023	5/20/2025 12:43	5/24/2025 12:17	5/20/2025 12:43	1274		6	15		Symmetry								en	https://creativecommons.org/licenses/by/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\46WH4DHE\Sedik et al. - 2023 - An Adaptive Fatigue Detection System Based on 3D CNNs and Ensemble Models.pdf		INCLUDED																																															
T44UH9LZ	journalArticle	2023	"Ali Almazroi, Abdulwahab; A. Alqarni, Mohammed; Aslam, Nida; Ali Shah, Rizwan"	Real-Time CNN-Based Driver Distraction & Drowsiness Detection System	Intelligent Automation & Soft Computing		1079-8587	10.32604/iasc.2023.039732	https://www.techscience.com/iasc/v37n2/53251	"Nowadays days, the chief grounds of automobile accidents are driver fatigue and distractions. With the development of computer vision technology, a cutting-edge system has the potential to spot driver distractions or sleepiness and alert them, reducing accidents. This paper presents a novel approach to detecting driver tiredness based on eye and mouth movements and object identification that causes a distraction while operating a motor vehicle. Employing the facial landmarks that the camera picks up and sends to classify using a Convolutional Neural Network (CNN) any changes by focusing on the eyes and mouth zone, precision is achieved. One of the tasks that must be performed in the transit system is seat belt detection to lessen accidents caused by sudden stops or high-speed collisions with other cars. A method is put forth to use convolution neural networks to determine whether the motorist is wearing a seat belt when a driver is sleepy, preoccupied, or not wearing their seat belt, this system alerts them with an alarm, and if they don’t wake up by a predetermined time of 3 s threshold, an automatic message is sent to law enforcement agencies. The suggested CNN-based model exhibits greater accuracy with 97%. It can be utilized to develop a system that detects driver attention or sleeps in real-time."	2023	5/20/2025 12:43	5/24/2025 12:31	5/20/2025 12:43	2153-2174		2	37										en					DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\LMABVHLF\Ali Almazroi et al. - 2023 - Real-Time CNN-Based Driver Distraction & Drowsiness Detection System.pdf		INCLUDED																																															
AZPZIVJS	journalArticle	2025	"Lin, Chengyou; Zhu, Xinying; Wang, Renpeng; Zhou, Wei; Li, Na; Xie, Yu"	Early Driver Fatigue Detection System: A Cost-Effective and Wearable Approach Utilizing Embedded Machine Learning	Vehicles		2624-8921	10.3390/vehicles7010003	https://www.mdpi.com/2624-8921/7/1/3	"Driving fatigue is the cause of many traffic accidents and poses a serious threat to road safety. To address this issue, this paper aims to develop a system for the early detection of driver fatigue. The system leverages heart rate variability (HRV) features and embedded machine learning to estimate the driver’s fatigue level. The driver’s HRV is derived from electrocardiogram (ECG) signals captured by a wearable device for analysis. Time- and frequency-domain HRV features are then extracted and used as the input for a machine learning classifier. A dataset of HRV features is collected from a driving simulation experiment involving 18 participants. Four machine learning classifiers are evaluated, and a backpropagation neural network (BPNN) is selected for its superior performance, achieving up to 94.35% accuracy. The optimized classifier is successfully deployed on an embedded system, providing a cost-effective and portable solution for the early detection of driver fatigue. The results demonstrate the feasibility of using HRV-based machine learning models for the early detection of driver fatigue, contributing to enhanced road safety and a reduced accident risk."	1/8/2025	5/20/2025 12:43	5/24/2025 12:21	5/20/2025 12:43	3		1	7		Vehicles	Early Driver Fatigue Detection System							en	https://creativecommons.org/licenses/by/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\79FAI3CT\Lin et al. - 2025 - Early Driver Fatigue Detection System A Cost-Effective and Wearable Approach Utilizing Embedded Mac.pdf		INCLUDED																																															
C5QY9NNS	conferencePaper	2024	"De, Sagnik; Gupta, Anil Kumar"	A Quantum Machine Learning framework for Driver Drowsiness Detection using Biopotential Signals and Head Movement Analysis	"2024 IEEE International Conference for Women in Innovation, Technology &amp; Entrepreneurship (ICWITE)"	979-8-3503-8328-7		10.1109/ICWITE59797.2024.10502814	https://ieeexplore.ieee.org/document/10502814/	"Road accidents claim numerous lives annually, with drowsiness identified as a primary catalyst for a substantial portion of these incidents. This study addresses this critical issue by introducing an innovative approach to gauge human drowsiness levels during driving. The primary objective of this study is to introduce a novel deep-learning technique capable of detecting various alertness levels—awake, drowsy, and very sleepy—while driving. For this purpose, a hybrid model is proposed, leveraging Convolutional Neural Networks (CNN) in conjunction with an Attention-based Quantum Long ShortTerm Memory (QLSTM) network. The designed model employs different biopotential signals, including electroencephalogram (EEG), facial electromyography (EMG), pulse rate, and head movement, to discern a person’s alertness level. Demonstrating remarkable accuracy, the proposed model achieves detection rates of 99%, 98.5%, and 99% for awake, drowsy, and very sleepy states, respectively, thus offering a promising solution to mitigate the impact of drowsiness-related accidents."	2/16/2024	5/20/2025 12:49	5/24/2025 12:27	5/20/2025 12:49	461-466											IEEE	"Bangalore, India"	en	https://doi.org/10.15223/policy-029				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\CXLQM3GQ\De and Gupta - 2024 - A Quantum Machine Learning framework for Driver Drowsiness Detection using Biopotential Signals and.pdf		INCLUDED																																"2024 IEEE International Conference for Women in Innovation, Technology &amp; Entrepreneurship (ICWITE)"															
GJ4MJKKG	conferencePaper	2024	"M, Muthuraja; N, Shanthi; N, Aravindhraj; K, Sarankanth; M, Senthan Vigas; J, Shivaani"	An Acceptable Deep Learning Approach for Detecting Drowsiness	2024 9th International Conference on Communication and Electronics Systems (ICCES)	979-8-3503-7797-2		10.1109/ICCES63552.2024.10859428	https://ieeexplore.ieee.org/document/10859428/	"This research addresses the critical issue of driver drowsiness, a significant contributor to road accidents. The study proposes a real-time driver drowsiness monitoring system utilizing state-of-the-art deep learning models, including InceptionV3, Xception, and Densenet121 with Transfer Learning. The system analyzes real-time video or image data to detect signs of drowsiness, such as eye closure, yawning, and head tilting. Evaluation results demonstrate that the Xception model with Transfer Learning achieves the highest accuracy (99.36%), followed by Densenet121 and InceptionV3 with LSTM. The system aims to enhance road safety by providing real-time alerts to drivers and potentially incorporating countermeasures to prevent accidents caused by drowsiness. This research has the potential to significantly impact road safety and contribute to a reduction in traffic accidents worldwide."	12/16/2024	5/20/2025 12:49	5/24/2025 12:21	5/20/2025 12:49	1678-1684											IEEE	"Coimbatore, India"	en	https://doi.org/10.15223/policy-029				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\CB4I9UEL\M et al. - 2024 - An Acceptable Deep Learning Approach for Detecting Drowsiness.pdf		INCLUDED																																2024 9th International Conference on Communication and Electronics Systems (ICCES)															
NAM35L6I	journalArticle	2019	"Budak, Umit; Bajaj, Varun; Akbulut, Yaman; Atila, Orhan; Sengur, Abdulkadir"	An Effective Hybrid Model for EEG-Based Drowsiness Detection	IEEE Sensors Journal		"1530-437X, 1558-1748, 2379-9153"	10.1109/JSEN.2019.2917850	https://ieeexplore.ieee.org/document/8718312/	"Early detection of driver drowsiness and the development of a functioning driver alertness system may support the prevention of numerous vehicular accidents worldwide. Wearable sensors and camera-based systems are generally employed in the driver drowsiness detection. Electroencephalogram (or EEG) is considered another effective option for the driver drowsiness detection. Various EEG-based drowsiness detection systems have been proposed to date. In this paper, EEG signals are also used for the detection of drowsiness, with the proposed method being composed of three main building blocks. Both raw EEG signals and their corresponding spectrograms are used in the proposed building blocks. In the ?rst building block, while energy distribution and zero-crossing distribution features are calculated from the raw EEG signals, spectral entropy and instantaneous frequency features are extracted from the EEG spectrogram images. In the second building block, deep feature extraction is employed directly on the EEG spectrogram images using pre-trained AlexNet and VGGNet. In the third building block, the tunable Q-factor wavelet transform (TQWT) is used to decompose the EEG signals into related sub-bands. The spectrogram images of the obtained sub-bands and statistical features, such as mean and standard deviation of the sub-bands’ instantaneous frequencies, are then calculated. Each feature group from each building block is fed to a long-short term memory (LSTM) network for the purposes of classi?cation. The obtained results from the LSTM networks are then fused with a majority voting layer. The MIT-BIH Polysomnographic database was used in the experimental works. The evaluation of the proposed method was carried out with ten-fold cross validation test and the average accuracy represented accordingly. The obtained average accuracy score was 94.31%. The obtained result was also compared with other results to be found in the literature. The comparison shows that the proposed method’s achievement was found to be better than the compared results."	9/1/2019	5/20/2025 12:49	5/24/2025 12:29	5/20/2025 12:49	7624-7631		17	19		IEEE Sensors J.								en	https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\UILTC7IS\Budak et al. - 2019 - An Effective Hybrid Model for EEG-Based Drowsiness Detection.pdf		EXCLUDED - wrong population																																															
LIKHFQRM	journalArticle	2014	"Zhang, Chi; Wang, Hong; Fu, Rongrong"	Automated Detection of Driver Fatigue Based on Entropy and Complexity Measures	IEEE Transactions on Intelligent Transportation Systems		"1524-9050, 1558-0016"	10.1109/TITS.2013.2275192	http://ieeexplore.ieee.org/document/6589164/	"This paper presents a real-time method based on various entropy and complexity measures for detection and identi?cation of driving fatigue from recorded electroencephalogram (EEG), electromyogram, and electrooculogram signals. The complexity features were used to distinguish whether the subjects are experienced drivers by calculating the Lempel–Ziv complexity of EEG approximate entropy (ApEn). Different threshold values can be set for the two kinds of drivers individually. The entropy-based features, namely, the wavelet entropy (WE), the peak-to-peak value of ApEn (PP-ApEn), and the peak-to-peak value of sample entropy (PP-SampEn), were extracted from the collected signals to estimate the driving fatigue stages. We proposed WE in a sliding window (WES), PP-ApEn in a sliding window (PP-ApEnS), and PP-SampEn in a sliding window (PP-SampEnS) for real-time analysis of driver fatigue. The real-time features obtained by WE, PP-ApEn, and PP-SampEn with sliding window were applied to arti?cial neural network for training and testing the system, which gives four situations for the fatigue level of the subjects, namely, normal state, mild fatigue, mood swing, and excessive fatigue. Then, the driver fatigue level can be determined in real time. The accuracy of estimation is about 96.5%–99.5%. Receiver operating characteristic (ROC) curve was used to present the performance of the neural network classi?er. The area under the ROC curve is 0.9931. The results show that the developed method is valuable for the application of avoiding some traf?c accidents caused by driver’s fatigue."	2014-02	5/20/2025 12:49	5/24/2025 12:14	5/20/2025 12:49	168-177		1	15		IEEE Trans. Intell. Transport. Syst.								en	https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\2V3FM85L\Zhang et al. - 2014 - Automated Detection of Driver Fatigue Based on Entropy and Complexity Measures.pdf		INCLUDED																																															
RGPZZ7DX	journalArticle	2024	"Alguindigue, Jose; Singh, Amandeep; Narayan, Apurva; Samuel, Siby"	Biosignals Monitoring for Driver Drowsiness Detection Using Deep Neural Networks	IEEE Access		2169-3536	10.1109/ACCESS.2024.3423723	https://ieeexplore.ieee.org/document/10584538/	"Drowsy driving poses a significant risk to road safety, necessitating the development of reliable drowsiness detection systems. In particular, the advancement of Artificial Intelligence based neuroadaptive systems is imperative to effectively mitigate this risk. Towards reaching this goal, the present research focuses on investigating the efficacy of physiological indicators, including heart rate variability (HRV), percentage of eyelid closure over the pupil over time (PERCLOS), blink rate, blink percentage, and electrodermal activity (EDA) signals, in predicting driver drowsiness. The study was conducted with a cohort of 30 participants in controlled simulated driving scenarios, with half driving in a non-monotonous environment and the other half in a monotonous environment. Three deep learning algorithms were employed: sequential neural network (SNN) for HRV, 1D-convolutional neural network (1D-CNN) for EDA, and convolutional recurrent neural network (CRNN) for eye tracking. The HRV-Based Model and EDA-Based Model exhibited strong performance in drowsiness classification, with the HRV model achieving precision, recall, and F1-score of 98.28%, 98%, and 98%, respectively, and the EDA model achieving 96.32%, 96%, and 96% for the same metrics. The confusion matrix further illustrates the model’s performance and highlights high accuracy in both HRV and EDA models, affirming their efficiency in detecting driver drowsiness. However, the Eye-Based Model faced difficulties in identifying drowsiness instances, potentially attributable to dataset imbalances and underrepresentation of specific fatigue states. Despite the challenges, this work significantly contributes to ongoing efforts to improve road safety by laying the foundation for effective real-time neuroadaptive systems for drowsiness detection and mitigation."	2024	5/20/2025 12:49	5/24/2025 12:32	5/20/2025 12:49	93075-93086			12		IEEE Access								en	https://creativecommons.org/licenses/by-nc-nd/4.0/				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\N5GWRYHJ\Alguindigue et al. - 2024 - Biosignals Monitoring for Driver Drowsiness Detection Using Deep Neural Networks.pdf		INCLUDED																																															
5P79RGNS	journalArticle	2021	"Paulo, Joao Ruivo; Pires, Gabriel; Nunes, Urbano J."	Cross-Subject Zero Calibration Driver’s Drowsiness Detection: Exploring Spatiotemporal Image Encoding of EEG Signals for Convolutional Neural Network Classification	IEEE Transactions on Neural Systems and Rehabilitation Engineering		"1534-4320, 1558-0210"	10.1109/TNSRE.2021.3079505	https://ieeexplore.ieee.org/document/9429251/	"This paper explores two methodologies for drowsiness detection using EEG signals in a sustainedattention driving task considering pre-event time windows, and focusing on cross-subject zero calibration. Driving accidents are a major cause of injuries and deaths on the road. A considerable portion of those are due to fatigue and drowsiness. Advanced driver assistance systems that could detect mental states which are associated with hazardous situations, such as drowsiness, are of critical importance. EEG signals are used widely for brain-computer interfaces, as well as mental state recognition. However, these systems are still dif?cult to design due to very low signal-to-noise ratios and cross-subject disparities, requiring individual calibration cycles. To tackle this research domain, here, we explore drowsiness detection based on EEG signals’ spatiotemporal image encoding representations in the form of either recurrence plots or gramian angular ?elds for deep convolutional neural network (CNN) classi?cation. Results comparing both techniques using a public dataset of 27 subjects show a superior balanced accuracy of up to 75.87% for leave-one-out cross-validation, using both techniques, against works in the literature, demonstrating the possibility to pursue cross-subject zero calibration design."	2021	5/20/2025 12:49	5/24/2025 12:19	5/20/2025 12:49	905-915			29		IEEE Trans. Neural Syst. Rehabil. Eng.	Cross-Subject Zero Calibration Driver’s Drowsiness Detection							en	https://creativecommons.org/licenses/by/4.0/legalcode				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\LR5G6TLR\Paulo et al. - 2021 - Cross-Subject Zero Calibration Driver’s Drowsiness Detection Exploring Spatiotemporal Image Encodin.pdf		INCLUDED																																															
CAL8GXCD	conferencePaper	2022	"William, P.; Shamim, Mohd; Yeruva, Ajay Reddy; Gangodkar, Durgaprasad; Vashisht, Swati; Choudhury, Amarendranath"	Deep Learning based Drowsiness Detection and Monitoring using Behavioural Approach	2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS)	978-1-6654-7657-7		10.1109/ICTACS56270.2022.9987728	https://ieeexplore.ieee.org/document/9987728/	"Using deep learning and a behavioural approach, this study presents a real-time detection and monitoring system for tired drivers. The objective is to develop and build software that collects real-time driver behaviour while driving and trains it using convolutional neural networks (CNNs) to anticipate the driver's behaviour. An intelligent video-based gadget, a dataset of drowsy drivers, and CNN architecture were used to achieve this goal. MATLAB and a deep learning technology were used to implement the concepts. Tests revealed that the system has a 99.8% accuracy rate for detecting anomalies. A prototype model of the system was created using MATLAB."	10/10/2022	5/20/2025 12:49	5/24/2025 12:16	5/20/2025 12:49	592-599											IEEE	"Tashkent, Uzbekistan"	en	https://doi.org/10.15223/policy-029				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\7ED8YREK\William et al. - 2022 - Deep Learning based Drowsiness Detection and Monitoring using Behavioural Approach.pdf		INCLUDED																																2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS)															
6N9HQHAF	journalArticle	2019	"Xing, Yang; Lv, Chen; Wang, Huaji; Cao, Dongpu; Velenis, Efstathios; Wang, Fei-Yue"	Driver Activity Recognition for Intelligent Vehicles: A Deep Learning Approach	IEEE Transactions on Vehicular Technology		"0018-9545, 1939-9359"	10.1109/TVT.2019.2908425	https://ieeexplore.ieee.org/document/8678436/	"Driver decisions and behaviors are essential factors that can affect the driving safety. To understand the driver behaviors, a driver activities recognition system is designed based on the deep convolutional neural networks (CNN) in this paper. Speci?cally, seven common driving activities are identi?ed, which are the normal driving, right mirror checking, rear mirror checking, left mirror checking, using in-vehicle radio device, texting, and answering the mobile phone, respectively. Among these activities, the ?rst four are regarded as normal driving tasks, while the rest three are classi?ed into the distraction group. The experimental images are collected using a low-cost camera, and ten drivers are involved in the naturalistic data collection. The raw images are segmented using the Gaussian mixture model to extract the driver body from the background before training the behavior recognition CNN model. To reduce the training cost, transfer learning method is applied to ?ne tune the pre-trained CNN models. Three different pre-trained CNN models, namely, AlexNet, GoogLeNet, and ResNet50 are adopted and evaluated. The detection results for the seven tasks achieved an average of 81.6% accuracy using the AlexNet, 78.6% and 74.9% accuracy using the GoogLeNet and ResNet50, respectively. Then, the CNN models are trained for the binary classi?cation task and identify whether the driver is being distracted or not. The binary detection rate achieved 91.4% accuracy, which shows the advantages of using the proposed deep learning approach. Finally, the real-world application are analyzed and discussed."	2019-06	5/20/2025 12:50	5/24/2025 12:16	5/20/2025 12:50	5379-5390		6	68		IEEE Trans. Veh. Technol.	Driver Activity Recognition for Intelligent Vehicles							en	https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\SF4QWDQN\Xing et al. - 2019 - Driver Activity Recognition for Intelligent Vehicles A Deep Learning Approach.pdf		INCLUDED																																															
9NRX3HDQ	conferencePaper	2024	"Pahariya, Shivam; Vats, Pratyush; Suchitra, S"	Driver Drowsiness Detection using MobileNetV2 with Transfer Learning Approach	2024 International Conference on Advances in Data Engineering and Intelligent Computing Systems (ADICS)	979-8-3503-6482-8		10.1109/ADICS58448.2024.10533606	https://ieeexplore.ieee.org/document/10533606/	"Drowsiness among drivers is one of the leading causes of road accidents and deaths. In this research, we propose a new way to detect driver drowsiness using MobileNet architecture with transfer learning. The goal of the proposed system is to improve the accuracy and effectiveness of Drowsiness Detection in vehicular environments.The first step in the research is to train MobileNet using an existing image classification dataset. Transfer learning is then used to adjust the model for the specific drowsiness detection task. Transfer learning improves the model’s capacity to generalize from a limited set of labeled data. Combining MobileNet’s deep learning capabilities with transfer learning allows us to leverage the advantages of both techniques, balancing computational efficiency with accuracy. Haar Cascade Classifiers can be used to analyze facial features, including eye tracking, facial expressions, etc. This classic computer vision technique adds an extra layer of detection, increasing the robustness of the overall drowsiness detection solution. Combining the deep learning capabilities of MobileNet with the real-time efficiency of haar Cascade Classifiers provides a complete solution for drowsiness detection in real-time. The proposed system with a validation accuracy of 86% has the potential to be incorporated into advanced driver assistance systems (ADAS) systems to improve road safety by alerting drivers when they are drowsy. This research opens the door to intelligent adaptive systems that could play an important role in reducing the number of drowsiness-related accidents and saving lives."	4/18/2024	5/20/2025 12:50	5/24/2025 12:20	5/20/2025 12:50	6-Jan											IEEE	"Chennai, India"	en	https://doi.org/10.15223/policy-029				DOI.org (Crossref)				C:\Users\LATITUDE E7470\Zotero\storage\RMN5XYNM\Pahariya et al. - 2024 - Driver Drowsiness Detection using MobileNetV2 with Transfer Learning Approach.pdf		EXCLUDED - wrong population																																2024 International Conference on Advances in Data Engineering and Intelligent Computing Systems (ADICS)															
